sample_id	source	target	ligand_complex	receptor_complex	lr_means	cellphone_pvals	expr_prod	scaled_weight	lr_logfc	spec_weight	lrscore	specificity_rank	magnitude_rank
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HLA-F	CD8A	0.317917	0.207	0.100836575	0.09454499016589504	0.31437909458549906	0.40886566	0.7012259	0.9229255228412965	1.0
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	LRPAP1	SORL1	0.43258527	0.0	0.14801541	0.25606364662069375	1.3215469294327946	0.7897909	0.73982316	0.004035194905697124	1.0
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	ARF6	SMAP1	0.2988841	0.144	0.08919879	0.07366269995071109	0.41825918313371724	0.37021828	0.6882231	0.8713063098805474	1.0
raw_all__GSM5837221_AB6853.txt.gz	B_cell	B_cell	LY86	CD180	0.3704509	0.0	0.13610998	0.28845885408815264	1.373539814554681	1.0	0.7316722	0.0010978623847509488	1.0
raw_all__GSM5837221_AB6853.txt.gz	B_cell	B_cell	MIF	CD44_CD74	0.36633617	0.983	0.11769381	-0.12847655468842917	-0.3941854931791672	0.13511842	0.7171635	1.0	1.0
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	ADAM28	ITGA4	0.37623876	0.012	0.13812774	0.18475099086283536	0.8150547621259062	0.6141016	0.73311424	0.05037780250000001	1.0
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HLA-DMA	CD4	0.42791808	0.0	0.14775166	0.28609078856772013	1.297671770166092	0.9095215	0.73965156	0.0032104815740619727	1.0
raw_all__GSM5837221_AB6853.txt.gz	B_cell	T_cell	HLA-F	CD8B	0.39657006	0.083	0.15325649	0.10769576749458629	0.7680013747321769	0.40886566	0.7431581	0.6055314355361748	1.0
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	GNAI2	CXCR3	0.42595717	0.868	0.15819979	-0.03382147212189172	-0.08929745919380161	0.24831308	0.7461762	1.0	1.0
raw_all__GSM5837221_AB6853.txt.gz	T_cell	B_cell	PKM	CD44	0.39845258	0.251	0.13297167	0.039057768130862716	0.17051127088713558	0.24755673	0.72937614	1.0	1.0
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	ARF6	SMAP1	0.31926578	0.073	0.10185227	0.10037622152676365	0.5071427055258961	0.42273635	0.7022747	0.43499720897673644	1.0
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	LGALS1	ITGB1	0.32905608	0.131	0.10805341	0.07533461917824585	0.30312410410799573	0.3660004	0.7084162	0.976805038450697	1.0
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	LCK	CD8A_CD8B	0.3894666	0.0	0.14413825	0.3094458113836369	1.3101832043163477	1.0	0.73726046	0.002519152314241034	1.0
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	IL16	CD4	0.3854948	0.09	0.12739955	0.1380042111008967	0.5778769773407835	0.5226096	0.72513056	0.3401222400000001	1.0
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	HLA-F	CD8A	0.39219362	0.011	0.14578862	0.17664138649015115	0.7949195878478094	0.59113437	0.73836166	0.040306437027856544	1.0
raw_all__GSM5837221_AB6853.txt.gz	T_cell	T_cell	SELPLG	ITGB2	0.37467313	0.0	0.1395352	0.18933509895371667	0.9336180477594722	0.6148631	0.73410493	0.027187325561046024	1.0
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	HLA-B	CD3D	2.7490532	0.0	6.4151816	0.4176570616960324	1.7954654797402603	0.51885396	0.9480722	0.028701145211722963	0.0004987315362346534
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-B	CD3D	2.6103249	0.0	5.948955	0.17634187441465649	1.4162976897977162	0.481146	0.9461832	0.08393082697483678	0.001984951514447322
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	B2M	KLRD1	2.3959303	0.0	1.826757	0.34523343948685103	1.2287960192596334	0.5037727	0.90691316	0.04649984484734125	0.012218922342496524
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	HLA-B	CD8A	2.2172427	0.0	2.3545437	0.27231959386366594	1.1779139961717755	0.51885396	0.91708744	0.028701145211722963	0.012218922342496524
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	HLA-B	CD8B	2.144609	0.0	1.7999482	0.24356059002460506	1.1412885541674735	0.51885396	0.9062872	0.028701145211722963	0.017505477649347807
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	HLA-B	KLRD1	2.1176832	0.0	1.5943557	0.22558292660324403	1.0369532357428066	0.48601347	0.9010082	0.07151960677522605	0.03080165970399313
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-B	CD8A	2.0785143	0.085	2.1834261	0.031004406582290006	0.7987462062292314	0.481146	0.9141733	0.7107515383387356	0.03878137007209692
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	B2M	KLRD1	2.0883806	0.974	1.5698813	-0.15931287613845957	0.4659426622834357	0.43293297	0.9003162	1.0	0.04762886060525484
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-B	CD8B	2.0058806	0.26	1.6691362	0.0022454027432291523	0.7621207642249294	0.481146	0.9030336	1.0	0.05732919079236086
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	LGALS1	ITGB1	0.20277907	0.971	0.040700138	-0.13683582810233785	-0.7640680996121225	0.11082662	0.59254116	1.0	0.06666419917564363
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-B	KLRD1	1.9789547	0.372	1.4784851	-0.015732260678131882	0.6577854458002625	0.4506922	0.89759207	1.0	0.0792284971045322
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	HLA-C	CD8A	1.5761702	0.0	1.5637987	0.27973814378816014	1.192178792876187	0.5693826	0.90014184	0.01073594196695062	0.10435958497305342
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-DRA	CD4	1.6394837	0.0	1.2793218	0.5047167752605358	2.050088654496985	0.7147197	0.8907483	0.0013831022471142678	0.10435958497305342
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	HLA-A	CD8A	1.5180142	0.0	1.4920647	0.2585411989550917	1.155384272258144	0.55651814	0.8980115	0.013841215862134918	0.11809962800443108
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	TNFSF10	CCR6	0.22469088	0.002	0.050361842	0.1845040679565507	0.8388496067998121	0.76167035	0.61797965	0.05087341046684203	0.1323334289364408
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	COPA	CD74	2.4754717	0.0	1.2402427	0.5285310984590911	2.246589827435147	0.5733479	0.8892296	0.005240601751138311	0.13260274390929105
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	HLA-C	CD8B	1.5035365	0.0	1.1954573	0.2509791399490993	1.1555533508718852	0.5693826	0.8874053	0.01073594196695062	0.16383830652727455
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	TGFB1	ITGB1	0.22957218	0.79	0.05266346	-0.04612668753458447	-0.20493125158424924	0.19848779	0.6232406	1.0	0.19701517426065762
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	HLA-A	CD8B	1.4453803	0.0	1.1406198	0.22978219511603085	1.1187588302538418	0.55651814	0.88503796	0.013841215862134918	0.21604052975960153
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-DRB1	CD4	1.4595367	0.0	1.1164174	0.5433075161156291	2.2986553578061635	0.8031973	0.88394237	0.0013233382897159915	0.23480782028039293
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-DPA1	CD4	1.3570188	0.0	1.0236089	0.46170041009167495	1.8285677635015078	0.7111485	0.8794158	0.001616795909269762	0.25423339854286736
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	VIM	CD44	1.3297267	0.0	1.5711327	0.3200997235687516	1.291528735883137	0.54258496	0.90035194	0.018617140455858504	0.25423339854286736
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	CD55	ADGRE5	0.23677456	0.308	0.05277776	0.03620267177478016	0.00045635792556797394	0.29157826	0.62349504	1.0	0.26071690410496956
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-E	CD8A	1.3207564	0.022	1.248753	0.18027749012116312	1.0410944525214707	0.5105044	0.88956594	0.0823463367290064	0.27430233944413174
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	TGFB1	LPP	0.22986002	0.061	0.052799262	0.10133517335023426	0.41506202946430637	0.4590338	0.6235429	0.4138997527730591	0.323446107574409
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	HLA-E	CD8A	1.2790935	0.034	1.1973628	0.1479253575812716	0.9355657498795362	0.48949555	0.88748485	0.13426352891681867	0.3382198075574395
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-A	CD8A	1.2723187	0.5	1.1890063	0.047538480472579026	0.8212759301428629	0.44348183	0.8871347	1.0	0.3607125822210003
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-C	CD8A	1.2671919	0.668	1.1826825	0.022102146672897116	0.7844814095248198	0.4306174	0.8868674	1.0	0.38377395652251595
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	HLA-B	LILRB1	2.0091496	0.007	0.7656484	0.1823031679996847	0.47275737285737546	0.39236155	0.86315274	0.4832247421867995	0.38377395652251595
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	NUCB2	ERAP1	0.23209125	0.142	0.05379196	0.0747667004596873	0.2842575950306462	0.4261914	0.6257266	0.74399751755746	0.3852102809366239
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	HLA-B	LILRB1	1.8704212	0.859	0.71000457	-0.0590120192816912	0.09358958291483138	0.36384648	0.8586352	1.0	0.4073888764320146
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-E	CD8B	1.2481227	0.037	0.95461833	0.15151848628210224	1.0044690105171687	0.5105044	0.87566674	0.15430774718683832	0.4073888764320146
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	LGALS9	CD44	0.5993161	0.004	0.27708712	0.22671009257721741	0.8080781173704654	0.61360896	0.7914241	0.060538579962871555	0.40959448489675326
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	MIF	CD74_CXCR4	0.5571519	0.647	0.2833767	-0.029252239467800187	0.22759147596697527	0.21002783	0.7932706	1.0	0.40959448489675326
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	MIF	CD44_CD74	0.5819876	0.777	0.2974004	-0.038042722903752255	-0.11538441742933647	0.19965145	0.7972031	1.0	0.42766226630281967
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	HLA-E	CD8B	1.2064596	0.094	0.91533273	0.11916635374221074	0.8989403078752342	0.48949555	0.87336105	0.2986487005669009	0.4315424255253927
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	S100A8	ITGB2	0.2753554	0.369	0.068161935	0.0469375721839743	0.15884993061689967	0.356174	0.6530126	1.0	0.44601688939076395
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	GNAI2	S1PR1	0.5511165	0.436	0.29499638	0.009045085468622777	0.006601418845869622	0.2582741	0.7965463	1.0	0.44625371495356503
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	CALM1	FAS	0.59255135	0.942	0.3030535	-0.030443058878514534	0.3422472146358614	0.34035954	0.79872096	1.0	0.44625371495356503
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-A	CD8B	1.1996849	0.663	0.90894455	0.018779476633518172	0.7846504881385609	0.44348183	0.8729732	1.0	0.4562196916805954
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	HMGB1	CXCR4	0.5751783	0.896	0.30792087	-0.072658242117331	-0.6263947553572918	0.17994833	0.7999987	1.0	0.4653764666774692
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	GNAI2	S1PR4	0.5453112	0.473	0.29665446	0.004626440411342983	0.20084944208677835	0.26105383	0.797	1.0	0.4653764666774692
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-C	CD8B	1.1945581	0.835	0.9041103	-0.006656857166163738	0.7478559675205178	0.4306174	0.87267727	1.0	0.48140561441457663
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HMGB1	CXCR4	0.5956037	0.768	0.32523423	-0.05386545991572625	-0.33689345882901434	0.19006622	0.80433905	1.0	0.48503769701348076
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	MIF	CD74_CXCR4	0.6045273	0.353	0.33279824	0.024376866223166815	-0.22759147596697527	0.24665716	0.80614185	1.0	0.5052450375179104
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	GNAI2	S1PR4	0.52476	0.583	0.2610193	-0.018138617776108038	-0.20084944208677835	0.22969517	0.7864507	1.0	0.5052450375179104
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	BTLA	TNFRSF14	0.2732648	0.082	0.07291263	0.0995308104837769	0.3668735173678775	0.40507054	0.66060597	0.4832247421867995	0.5058733842700819
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-DPB1	CD4	1.185359	0.0	0.86820686	0.45356076495053743	1.9522003504923848	0.7639411	0.870409	0.0013831022471142678	0.5070852805745825
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	GNAI2	S1PR1	0.58440167	0.234	0.33790544	0.04490780078654996	0.06189789796772338	0.29584166	0.8073291	1.0	0.5260059691454211
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	CD52	SIGLEC10	1.3864977	0.088	0.64101225	0.1642561478815531	0.5435512682251502	0.5102733	0.85231686	0.28170847805207894	0.5332438336515253
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	CD48	CD2	1.1772262	0.0	1.281439	0.33486753106044437	1.452401436596995	0.6471316	0.8908287	0.004116098553524639	0.5332438336515253
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-DRB5	CD4	0.5215187	0.0	0.26723826	0.32507557142459104	1.5366555102841977	0.853224	0.7884212	0.0013831022471142678	0.547327972850676
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	LGALS1	PTPRC	0.5241121	0.91	0.23796158	-0.06470796969377247	-0.07070159284572586	0.23873588	0.77858156	1.0	0.547327972850676
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	MIF	CD44_CD74	0.6392716	0.473	0.34787503	-0.0007451402714547944	0.11538441742933647	0.23353618	0.8095805	1.0	0.547327972850676
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	BTLA	CD79A	1.1766571	0.0	0.6424641	0.5111789774524609	2.1548033685419457	0.74211603	0.8524592	0.0013831022471142678	0.5598661027579968
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	LGALS1	ITGB1	0.27785504	0.751	0.074222125	-0.036532187174556946	-0.050142749788661733	0.2021071	0.66259855	1.0	0.5647873354830985
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	GNAI2	S1PR1	0.5214523	0.609	0.27190477	-0.018026645625932744	-0.006601418845869622	0.238057	0.7898615	1.0	0.5692185295883384
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	GNAI2	S1PR4	0.6082605	0.113	0.36866271	0.06756088682382569	0.26934875890037135	0.32442063	0.81401396	0.8507586376956398	0.5692185295883384
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	VIM	CD44	1.0761799	0.037	0.6717421	0.08811768478896376	0.5526546387721086	0.23198369	0.8552396	1.0	0.5869372295027637
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	CD52	SIGLEC10	1.3357934	0.231	0.6152013	0.12458315857714983	0.3860750477173844	0.48972663	0.8497114	0.5396649523872163	0.5869372295027637
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-DMA	CD4	0.63975334	0.0	0.37427497	0.34179888389434654	1.6102832279041497	0.7964429	0.81515497	0.0013831022471142678	0.5916851203130715
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	HLA-F	CD8A	0.5167593	0.0	0.25704482	0.27870727618059615	1.4502397531572142	0.8472397	0.78515935	0.001616795909269762	0.5916851203130715
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	COPA	CD74	0.8419404	1.0	0.37560338	-0.2890005232480381	-1.5502486846394448	0.17363651	0.8154217	1.0	0.614735225979538
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	S100A8	ITGB2	0.29180026	0.202	0.07433999	0.06562848305755248	0.35759474379211464	0.38845685	0.66277593	0.5609139064769648	0.6227660776550078
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	LGALS9	PTPRC	0.76668966	0.003	0.38179523	0.21318082277355638	0.8663053365724074	0.5521624	0.816649	0.047176019504302974	0.6383763275424024
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	LGALS9	PTPRC	0.5142829	0.785	0.22389066	0.010963177561822829	0.010976801057494878	0.32379663	0.77328324	1.0	0.6383763275424024
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	LGALS1	PTPRC	0.7014429	0.143	0.22251734	0.037206034590180154	0.07070159284572586	0.22324139	0.7727434	1.0	0.6626159059563261
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-DMB	CD4	0.50231993	0.0	0.24985777	0.30083365727410594	1.3237263872229719	0.78189206	0.7827578	0.0013831022471142678	0.6626159059563261
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	HLA-C	LILRB1	1.0590987	0.987	0.38458365	-0.06791427919108409	0.07932478621041977	0.32563636	0.81719315	1.0	0.6626159059563261
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	CD55	ADGRE5	0.27797854	0.095	0.077012666	0.09703794401003876	0.641432657224963	0.42546746	0.6667117	0.31634168717815053	0.6798172371699474
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	HLA-A	LILRB1	1.0642256	0.928	0.38664	-0.04247794539140218	0.11611930682846289	0.33536455	0.8175912	1.0	0.6874616430578313
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	HLA-DRA	CD4	0.5001768	1.0	0.24791759	-0.20949667649077955	-0.9519410559023741	0.13850431	0.7820943	1.0	0.6874616430578313
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-DQA1	CD4	1.0100342	0.0	0.7094869	0.44592489611282626	2.1983964715447666	0.8338972	0.85859096	0.0013831022471142678	0.6994111901166093
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	GNAI2	S1PR1	0.48816717	0.766	0.23737684	-0.05388936094385993	-0.06189789796772338	0.20782726	0.77836937	1.0	0.7129206229672943
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	HLA-A	APLP2	1.0665002	0.93	0.39541075	-0.04276692904680818	0.06975213578823797	0.3323132	0.81925786	1.0	0.7129206229672943
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	PKM	CD44	0.56035143	0.388	0.20805454	-0.0020011328843949905	-0.17633667521019536	0.19807015	0.7667885	1.0	0.7129206229672943
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	CALM1	FAS	0.9733069	0.0	0.58733875	0.2494076399404274	1.141277541346997	0.65964043	0.846728	0.007625580730719644	0.7285021778768472
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	HLA-F	LILRB1	0.3086661	0.0	0.083585605	0.18869085031661495	0.7450831298428142	0.6406895	0.6757483	0.11352501183432924	0.7359482366546917
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	PKM	CD44	0.48725682	0.822	0.22564353	-0.03699606239296867	0.17633667521019536	0.21481507	0.77396613	1.0	0.7390005226515576
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	LGALS1	PTPRC	0.7765189	0.01	0.40579	0.13750967551796106	0.7846269426691866	0.40711042	0.82116824	0.39254174742933645	0.7390005226515576
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	VIM	CD44	0.70101523	0.999	0.45726427	-0.152137629502714	-0.5526546387721086	0.15791456	0.8297697	1.0	0.7657088230652844
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	MIF	CD44_CD74	0.8355344	0.005	0.69558764	0.19393931587603558	0.6234896796816921	0.46696335	0.85738564	0.19543529364942033	0.7877464498557554
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	PSEN1	CD44	0.3002172	0.889	0.083964385	-0.0018565229936917116	0.14685955344489277	0.2995005	0.6762434	1.0	0.7911665570863105
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	LCK	CD8A_CD8B	0.47450042	0.0	0.22514147	0.24488343486436961	1.3775412913434035	0.82111406	0.77377117	0.007625580730719644	0.7930530051631383
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	SELPLG	SELL	0.72986615	0.267	0.4595811	0.07327861588357726	0.343550723183581	0.37180308	0.8301263	0.6252830210654842	0.7930530051631383
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	HLA-C	LILRB1	1.368077	0.001	0.50851464	0.18972171792417897	0.48702216956178707	0.4305717	0.8371416	0.3152638629880691	0.8178699311911933
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-DQB1	CD4	0.8206072	0.0	0.5380003	0.34737869831232915	1.4449543197509283	0.72061795	0.84094745	0.0013831022471142678	0.8178699311911933
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	ADAM28	ITGA4	0.4701366	0.032	0.20241931	0.18011597899911985	0.8788384363407494	0.52829057	0.7643243	0.1205632716049383	0.8210405498997817
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	HLA-A	LILRB1	1.3099209	0.002	0.48518828	0.1685247730911105	0.45022764894374395	0.4208435	0.83391523	0.39254174742933645	0.8210405498997817
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	PKM	CD44	0.3068047	0.999	0.088954285	-0.2339831716641828	-0.9152107723212239	0.08468544	0.68253064	1.0	0.8454796794418735
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	HLA-A	APLP2	1.3121957	0.002	0.4961945	0.1682357894357045	0.40386047790351903	0.41701442	0.83546275	0.4361176854627591	0.8483074932107061
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	SELPLG	SELL	0.7902626	0.065	0.51507974	0.12110795469079075	0.5844668970544924	0.41670167	0.8380141	0.3334039828354956	0.8483074932107061
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	GNAI2	S1PR4	0.46181065	0.887	0.21003625	-0.08107306418859075	-0.26934875890037135	0.18483044	0.7676349	1.0	0.8496789382298784
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	PSEN1	CD44	0.553764	0.0	0.1963837	0.2301255157860961	0.8857336505559213	0.70049953	0.761587	0.03860450244926821	0.8496789382298784
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	HLA-DPA1	CD4	0.45221674	1.0	0.2044998	-0.1736497055167295	-0.7304201649068968	0.14207548	0.76524407	1.0	0.8789756511080915
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	CD48	CD2	0.78964955	0.658	0.61939496	0.024303408900979845	0.6508919741948853	0.31279683	0.8501447	1.0	0.8790442936557492
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	LGALS1	ITGB1	0.3362362	0.348	0.08935978	0.013726215824167193	0.050142749788661733	0.24332699	0.6830232	1.0	0.8988950846984505
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	IL16	CD4	0.4502858	0.003	0.20275174	0.18062207957938314	0.8920917747901389	0.57820594	0.7644721	0.047176019504302974	0.9089381694890843
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	MIF	TNFRSF14	0.5082673	0.027	0.18162492	0.10177353610543544	0.2862773431245144	0.36385953	0.7544219	0.7107515383387356	0.9395742217253011
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	HMGB1	CXCR4	0.72406566	0.165	0.524265	0.06839710833919235	0.33689345882901434	0.30637938	0.8392102	1.0	0.9395742217253011
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	MIF	TNFRSF14	0.31200457	0.967	0.090833664	-0.09291092004205492	-0.22182791912784122	0.18197225	0.68479145	1.0	0.9514202018350628
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	VIM	CD44	0.44746852	1.0	0.19550459	-0.3841196682825018	-1.291528735883137	0.067516804	0.76117945	1.0	0.9708907994430271
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	CD40LG	CD53	0.54127526	0.034	0.17554064	0.15331818195049574	0.4781177117354191	0.5755952	0.7512519	0.3334039828354956	0.9708907994430271
raw_all__GSM5837334_AB7353.txt.gz	T_cell	T_cell	PKM	CD44	0.7408036	0.001	0.52775604	0.19498597638681914	0.9152107723212239	0.5024294	0.8396575	0.05087341046684203	0.9708907994430271
raw_all__GSM5837334_AB7353.txt.gz	T_cell	B_cell	MIF	CD74_CXCR4	0.75341463	0.007	0.5666211	0.16543221667969016	0.7356967382193309	0.4199576	0.84438324	0.2978742472937356	0.9729006329131556
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	LGALS9	CD47	0.34016314	0.072	0.1149621	0.13466726454302902	0.5165653415972342	0.46374062	0.70964617	0.2812141443644748	1.0
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	LGALS1	PTPRC	0.44903615	0.99	0.13048764	-0.1650116106215534	-0.7846269426691866	0.13091223	0.7225216	1.0	1.0
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	LY86	CD180	0.34982994	0.0	0.1124933	0.30845394264825854	1.444075169024058	1.0	0.70740455	0.0013831022471142678	1.0
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	ADAM28	ITGA4	0.39447522	0.14	0.15191966	0.1010925239255129	0.3530005562533104	0.39649245	0.73750496	0.5887801601707419	1.0
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	LGALS9	CD44	0.3457694	0.853	0.11846935	-0.0052719462025704045	0.06920402025943684	0.26235017	0.71273243	1.0	1.0
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	CD24	SIGLEC10	0.34280437	0.0	0.109721474	0.3236372065768036	1.253026278282899	1.0	0.7048159	0.0019850012314451384	1.0
raw_all__GSM5837334_AB7353.txt.gz	B_cell	B_cell	MIF	CD44_CD74	0.3857249	0.995	0.14873491	-0.23272717905124263	-0.6234896796816921	0.09984903	0.7354491	1.0	1.0
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	LGALS9	CD47	0.31974673	0.086	0.10218968	0.11009408362255123	0.36071679603266804	0.4122185	0.69736475	0.5340487137167207	1.0
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	ICAM3	ITGAL	0.35344696	0.185	0.117923394	0.060505284954949855	0.4947669687849161	0.3412894	0.71225935	0.678632419506587	1.0
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	IL16	CD4	0.3328486	0.329	0.096436895	0.036574267976339836	0.20605582380447213	0.27501804	0.69121575	1.0	1.0
raw_all__GSM5837334_AB7353.txt.gz	B_cell	T_cell	HLA-DQA2	CD4	0.37269455	0.0	0.13250907	0.269079035283747	1.0659781102278556	0.853224	0.7240599	0.010049068734191017	1.0
